Date,Open,High,Low,Close,Adj Close,Volume,,,
6/4/2021,48.790001,57.48,46.040001,47.91,47.91,337710100,-7.09,,
6/7/2021,52.380001,59.68,51.5,55,55,349094900,-0.049999,,
6/8/2021,57.16,60.619999,52.77,55.049999,55.049999,214490300,5.709999,,
6/9/2021,52.200001,53.389999,48.119999,49.34,49.34,150361300,6.529999,,
6/10/2021,47.93,51.5,39.709999,42.810001,42.810001,224860600,-6.590001,,
6/11/2021,44.68,49.599998,42.009998,49.400002,49.400002,218006600,-7.599998,,
6/14/2021,51.830002,60.549999,51.52,57,57,301467300,-2.040001,,
6/15/2021,58.389999,64.709999,56.73,59.040001,59.040001,285582100,3.860001,,
6/16/2021,56.139999,57.34,51.860001,55.18,55.18,166450700,-5.55,,
6/17/2021,54,63.830002,52.98,60.73,60.73,303576000,1.470002,,
6/18/2021,61.259998,64.959999,56.849998,59.259998,59.259998,243645900,3.569999,,
6/21/2021,61.34,63.009998,53.43,55.689999,55.689999,185876100,-2.580001,,
6/22/2021,54.099998,58.740002,51.049999,58.27,58.27,169494100,-0.029999,,
6/23/2021,57.040001,61.099998,56.799999,58.299999,58.299999,116291800,1.599998,,
6/24/2021,57.98,58.759998,55.66,56.700001,56.700001,80351200,2.64,,
6/25/2021,55.75,56.290001,52.970001,54.060001,54.060001,77596900,-4.05,,
6/28/2021,55.099998,59.360001,54.330002,58.110001,58.110001,99310200,1.680001,,
6/29/2021,59.060001,61,56.18,56.43,56.43,63604100,-0.25,,
6/30/2021,56,58.18,54.650002,56.68,56.68,59020600,2.459999,,
7/1/2021,56.860001,57.709999,52.529999,54.220001,54.220001,57549900,2.260002,,
7/2/2021,52.77,53.25,47.77,51.959999,51.959999,90271500,2,,
7/6/2021,53.459999,55.07,49.700001,49.959999,49.959999,62370300,4.889999,,
7/7/2021,47.700001,48.990002,42.799999,45.07,45.07,95320200,-2.869999,,
7/8/2021,40.950001,49.790001,38.759998,47.939999,47.939999,145078200,1.75,,
7/9/2021,48.369999,48.919998,45.82,46.189999,46.189999,57858600,3.579998,,
7/12/2021,44.290001,46.549999,42.07,42.610001,42.610001,62986400,3.260003,,
7/13/2021,40.57,42.139999,38.700001,39.349998,39.349998,86807300,5.919998,,
7/14/2021,38.799999,39.130001,33.240002,33.43,33.43,137830700,-2.57,,
7/15/2021,32.200001,37.400002,32.139999,36,36,199584500,1.040001,,
7/16/2021,37.830002,38.549999,34.299999,34.959999,34.959999,126825700,0.34,,
7/19/2021,32.950001,35.34,31.15,34.619999,34.619999,112891300,-8.470001,,
7/20/2021,35.139999,44.389999,35.130001,43.09,43.09,168673400,2.310001,,
7/21/2021,41.799999,46.549999,40.110001,40.779999,40.779999,158023700,3.539997,,
7/22/2021,40.16,41.740002,37.150002,37.240002,37.240002,93985900,0.25,,
7/23/2021,37.779999,38.400002,34.689999,36.990002,36.990002,85474800,-3.299999,,
7/26/2021,38.32,40.849998,37.57,40.290001,40.290001,97977600,2.280003,,
7/27/2021,39.990002,40.299999,37.060001,38.009998,38.009998,55288900,-0.890004,,
7/28/2021,37.41,39.560001,36.080002,38.900002,38.900002,71021400,0.770001,,
7/29/2021,38,40.25,37.470001,38.130001,38.130001,59446200,1.110001,,
7/30/2021,37.540001,39.189999,36.790001,37.02,37.02,52996200,1.819999,,
8/2/2021,37.580002,38.48,35.009998,35.200001,35.200001,59061700,1.610001,,
8/3/2021,35.16,35.209999,32.779999,33.59,33.59,61740100,3.75,,
8/4/2021,34.43,35.240002,29.809999,29.84,29.84,85496600,-3.669998,,
8/5/2021,31.08,34.119999,28.91,33.509998,33.509998,108565100,0.809997,,
8/6/2021,33.419998,33.580002,31.57,32.700001,32.700001,52858800,-1.099998,,
8/9/2021,32.68,35.380001,32.349998,33.799999,33.799999,81054600,2.049999,,
8/10/2021,36.900002,37.16,31.440001,31.75,31.75,116181500,0.200001,,
8/11/2021,31.58,31.91,29.4,31.549999,31.549999,69684300,-1.520001,,
8/12/2021,30.91,34.099998,30.75,33.07,33.07,71050000,-0.400001,,
8/13/2021,32.200001,34.48,31.879999,33.470001,33.470001,57990800,-2.219998,,
8/16/2021,33.849998,36.18,32.709999,35.689999,35.689999,86506600,-1.470001,,
8/17/2021,34.990002,38.779999,34.59,37.16,37.16,86868900,0.610001,,
8/18/2021,37.32,38.700001,36.490002,36.549999,36.549999,57948000,2.729999,,
8/19/2021,36.59,36.779999,33.330002,33.82,33.82,47920600,-0.59,,
8/20/2021,33.900002,34.599998,32.200001,34.41,34.41,55432600,-2.369999,,
8/23/2021,35.029999,37.93,34.400002,36.779999,36.779999,75319300,-7.479999,,
8/24/2021,37.189999,48.200001,36.349998,44.259998,44.259998,228489600,0.299999,,
8/25/2021,44.900002,48.299999,43.169998,43.959999,43.959999,209271500,3.649998,,
8/26/2021,42.790001,44.779999,40.07,40.310001,40.310001,109710200,-0.529999,,
8/27/2021,40.009998,41.580002,39.389999,40.84,40.84,72507400,-2.490002,,
8/30/2021,41.779999,45.709999,41.279999,43.330002,43.330002,108370900,-3.799999,,
8/31/2021,44.16,47.16,44.049999,47.130001,47.130001,127659600,3.440002,,
9/1/2021,47.16,47.849998,43.049999,43.689999,43.689999,82772400,-0.690002,,
9/2/2021,43.869999,44.900002,42.369999,44.380001,44.380001,67848800,0.360001,,
9/3/2021,43.540001,44.799999,42.470001,44.02,44.02,52109500,-3.810002,,
9/7/2021,45,47.93,44.880001,47.830002,47.830002,102133700,0.43,,
